RECTIFIEER MODULE FAULTY (Visible Columns)
Severity,Raised Time,NE,NE Agent,Alarm Code,Comment,Alarm Object Name
Critical,2023-06-09 10:33:08,AMHD01(9),ISB023_ZXB02_OMMB,Rectifier Module Fault(198092117),"",AMHD01
Critical,2023-06-09 10:33:08,AMHD01(9),ISB023_ZXB02_OMMB,Rectifier Module Fault(198092117),"",AMHD01
Critical,2023-06-09 10:02:28,AAST01(1),ISB023_ZXB02_OMMB,Rectifier Module Fault(198092117),"",AAST01
Critical,2023-06-09 09:44:04,IUUD61_USFUD(902),MRD751_ZXB02_OMMB,Rectifier Module Fault(198092571),"",IUUD61_USFUD
Critical,2023-06-09 06:48:30,uIUKH12_TOF_ON_USFK(112),ISB023_ZXR04_OMMB,Rectifier Module Fault(198092571),"",uIUKH12_TOF_ON_USFK
Critical,2023-06-09 07:15:54,uIUSW74_USFS(720),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),"",uIUSW74_USFS
Critical,2023-06-09 03:46:43,ANSD01(644),ISB023_ZXB02_OMMB,Rectifier Module Fault(198092117),"",ANSD01
Critical,2023-06-09 01:41:28,uIUSW73_TOF_ON_USFS(719),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),"",uIUSW73_TOF_ON_USFS
Critical,2023-06-09 00:48:11,AYAS04_TOF(654),ISB023_ZXB02_OMMB,Rectifier Module Fault(198092117),"",AYAS04_TOF
Critical,2023-06-08 19:33:43,uIUSW72_USFS(717),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),"",uIUSW72_USFS
Critical,2023-06-08 04:44:06,ASOS01(647),ISB023_ZXB02_OMMB,Rectifier Module Fault(198092571),"",ASOS01
Critical,2023-06-07 18:01:44,AGKH01(624),ISB023_ZXB02_OMMB,Rectifier Module Fault(198092117),"",AGKH01
Critical,2023-06-05 06:22:18,uIUDK14_USFD(675),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),"",uIUDK14_USFD
Critical,2023-06-05 03:25:12,uIUKH02_MHS_USFK(717),ISB023_ZXR04_OMMB,Rectifier Module Fault(198092571),"",uIUKH02_MHS_USFK
Critical,2023-06-02 10:58:01,uIUMS04_USFK(705),ISB023_ZXR04_OMMB,Rectifier Module Fault(198092571),"",uIUMS04_USFK
Critical,2023-06-02 02:37:17,QTMP01(402),ISB023_ZXB03_OMMB,Rectifier Module Fault(198092571),"",QTMP01
Critical,2023-06-01 16:58:26,IUUD48_USFUD(615),MRD751_ZXB02_OMMB,Rectifier Module Fault(198092571),"",IUUD48_USFUD
Critical,2023-05-29 23:35:54,IUUD52_USFUD(21),MRD751_ZXB02_OMMB,Rectifier Module Fault(198092571),"",IUUD52_USFUD
Critical,2023-05-26 12:21:04,IUUD57_USFUD(29),MRD751_ZXB02_OMMB,Rectifier Module Fault(198092571),"",IUUD57_USFUD
Critical,2023-05-18 17:11:10,uIUDK42_USFD(699),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),"",uIUDK42_USFD
Critical,2023-05-07 22:46:58,uIUMS33(121),ISB023_ZXR04_OMMB,Rectifier Module Fault(198092571),"",uIUMS33
Critical,2023-04-27 08:48:00,IUUD60_USFUD(31),MRD751_ZXB02_OMMB,Rectifier Module Fault(198092571),"",IUUD60_USFUD
Critical,2023-04-19 06:09:16,IUUD50_HS_USFUD(27),MRD751_ZXB02_OMMB,Rectifier Module Fault(198092571),"",IUUD50_HS_USFUD
Critical,2023-04-19 06:09:07,IUUD59_USFUD(17),MRD751_ZXB02_OMMB,Rectifier Module Fault(198092571),"",IUUD59_USFUD
Critical,2023-04-19 06:10:01,IUUD56_USFUD(16),MRD751_ZXB02_OMMB,Rectifier Module Fault(198092571),"",IUUD56_USFUD
Critical,2022-03-20 05:21:33,uIUBT08_USFK(710),ISB023_ZXR04_OMMB,Rectifier Module Fault(198092571),"",uIUBT08_USFK
Critical,2022-03-19 05:51:53,uIUAB12_USFK(702),ISB023_ZXR04_OMMB,Rectifier Module Fault(198092571),"",uIUAB12_USFK
Critical,2022-03-17 15:52:49,uIUHR21_USFK(690),ISB023_ZXR04_OMMB,Rectifier Module Fault(198092571),"",uIUHR21_USFK
Critical,2022-03-12 13:32:26,uIUDK54_USFD(672),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),"",uIUDK54_USFD
Critical,2021-05-12 07:44:40,uIUDK50_USFD_LCK(670),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),"",uIUDK50_USFD
Critical,2021-04-23 08:34:31,uIUDK57_TOF_USFD(673),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),"",uIUDK57_USFD
Critical,2021-04-13 07:15:48,uINP003_LCK(567),ISB023_ZXR02_OMMB,Rectifier Module Fault(198092571),act,uINP003
Total Count:,32,"","","","",""
