rECTIFIER MODULE FAULTY (Visible Columns)
Severity,Raised Time,NE,NE Agent,Alarm Code,Comment,Alarm Object Name
Critical,2023-06-09 08:51:55,uQSK118_GLO(961),KHI995_ZXR05_OMMB,Rectifier Module Faulty(198092117),"",uQSK118_GLO
Critical,2021-11-07 09:15:50,uQSPW01_LCK(802),KHI621_ZXR04_OMMB,Rectifier Module faulty(198092571),"",uQSPW01_TOF
Critical,2023-06-09 10:41:53,uQSGR02(909),KHI995_ZXR05_OMMB,Rectifier Module faulty(198092571),"",uQSGR02
Critical,2023-06-09 08:01:07,uZHB035_TOF_ON_USFS_UMORAN(254),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB035_TOF_ON_USFS_UMORAN
Critical,2023-06-09 06:46:25,uZHB024_USFZ_UMORAN(343),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB024_USFZ_UMORAN
Critical,2023-06-05 07:45:14,uZHB074_TOF_ON_USFZ_UMORAN(354),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB074_TOF_ON_USFZ_UMORAN
Critical,2023-06-02 02:01:39,uZHB075_USFZ_UMORAN(331),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB075_USFZ_UMORAN
Critical,2023-05-16 20:49:30,uZHB052_USF_UMORAN(266),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB052_USF_UMORAN
Critical,2023-05-03 16:14:48,uZHB046_HS_USFZ_UMORAN(347),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB046_HS_USFZ_UMORAN
Critical,2023-04-06 08:20:58,uZHB064_USFZ_UMORAN(296),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB064_USFZ_UMORAN
Critical,2023-03-29 15:43:28,uZHB038_USFZ_UMORAN(346),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB038_USFZ_UMORAN
Critical,2023-03-20 10:16:51,uZHB051_USF_UMORAN(265),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB051_USF_UMORAN
Critical,2023-03-18 07:48:01,uZHB009_TOF_ON_HS_USFZ_UMORAN(338),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB009_TOF_ON_HS_USFZ_UMORAN
Critical,2023-03-05 14:26:37,uZHB061_HS_USF_UMORAN(256),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB061_HS_USF_UMORAN
Critical,2022-08-30 14:10:08,uZHB076_USFZ_UMORAN(297),QTA751_ZXR01_OMMB,Rectifier Module faulty(198092571),"",uZHB076_USFZ_UMORAN
Total Count:,15,"","","","",""
