Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time,Related DN's
ccc6aa98ecb54d931e20cb1a7b5cf85b87746f32,7103,Environmental,Critical,2023-06-09 10:57:37,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850041/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-19,APEQM_R,false,,,false,,,,,eIBT005_MHS_ZG_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-19 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093096166,2023-06-09 10:57:40,2023-06-09 10:57:37,,2023-06-09 10:57:37 +05:00,2023-06-09 10:57:37 +05:00,,,
524746329200e2b299df77d6dc1d558c2973ca13,7103,Environmental,Critical,2023-06-09 10:56:32,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850078/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-13,APEQM_R,false,,,false,,,,,eIDM001_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-13 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093095645,2023-06-09 10:56:39,2023-06-09 10:56:32,,2023-06-09 10:56:32 +05:00,2023-06-09 10:56:32 +05:00,,,
6e89d4c11b333cef5bfa4e9cf834c7b3f1a38530,7103,Environmental,Critical,2023-06-09 10:56:07,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850392/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-16,APEQM_R,false,,,false,,,,,eISHA02_UG_HIR_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-16 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093095403,2023-06-09 10:56:09,2023-06-09 10:56:07,,2023-06-09 10:56:07 +05:00,2023-06-09 10:56:07 +05:00,,,
bf667e0e530d650331273c6927eb70f460fce0f,7103,Environmental,Critical,2023-06-09 10:50:04,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850223/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-10,APEQM_R,false,,,false,,,,,eIPW452_WH_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-10 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093092655,2023-06-09 10:50:07,2023-06-09 10:50:04,,2023-06-09 10:50:04 +05:00,2023-06-09 10:50:04 +05:00,,,
6dadaf147f65c02264e7c9b0a5907b546674535c,7103,Environmental,Critical,2023-06-09 10:44:29,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-840452/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-3,APEQM_R,false,,,false,,,,,eIIB131_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-3 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093090145,2023-06-09 10:44:37,2023-06-09 10:44:29,,2023-06-09 10:44:29 +05:00,2023-06-09 10:44:29 +05:00,,,
f4aaafbad099307f191fcd78ec7c3f6c6113d450,7103,Environmental,Critical,2023-06-09 10:39:37,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850727/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-6,APEQM_R,false,,,false,,,,,eIDI019_HS_PSOC_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-6 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093087638,2023-06-09 10:39:39,2023-06-09 10:39:37,,2023-06-09 10:39:37 +05:00,2023-06-09 10:39:37 +05:00,,,
a21fa32be53434e582e0e7cbc93fd51fbae08b18,7103,Environmental,Critical,2023-06-09 10:35:13,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-840751/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-8,APEQM_R,false,,,false,,,,,eIRP616_FTTT_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-8 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093085754,2023-06-09 10:35:20,2023-06-09 10:35:13,,2023-06-09 10:35:13 +05:00,2023-06-09 10:35:13 +05:00,,,
3d30c10e96153c4ef71d9b352ae9173e41018c09,7103,Environmental,Critical,2023-06-09 10:34:33,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-841331/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-18,APEQM_R,false,,,false,,,,,eIDO005_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-18 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093085477,2023-06-09 10:34:39,2023-06-09 10:34:33,,2023-06-09 10:34:33 +05:00,2023-06-09 10:34:33 +05:00,,,
65fced9a3c4e4f033c21ace6bf42f373473200d,7103,Environmental,Critical,2023-06-09 10:30:47,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850106/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-13,APEQM_R,false,,,false,,,,,eIKT014_UH_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-13 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093083617,2023-06-09 10:30:51,2023-06-09 10:30:47,,2023-06-09 10:30:47 +05:00,2023-06-09 10:30:47 +05:00,,,
f188ec8bf3f99ca9c59bee1ca1ecbce0e4825c,7103,Environmental,Critical,2023-06-09 10:28:43,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850776/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-5,APEQM_R,false,,,false,,,,,eITJI01_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-5 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093082660,2023-06-09 10:28:47,2023-06-09 10:28:43,,2023-06-09 10:28:43 +05:00,2023-06-09 10:28:43 +05:00,,,
eb7320dcec481a1de967778ef170bb8db73dc857,7103,Environmental,Critical,2023-06-09 10:11:57,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-851562/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-6,APEQM_R,false,,,false,,,,,eIUKH56_USFK,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-6 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1093074343,2023-06-09 10:12:01,2023-06-09 10:11:57,,2023-06-09 10:11:57 +05:00,2023-06-09 10:11:57 +05:00,,,
